player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Alexandre Sarr,WAS,C,CHI,AST,4.8,WORST,1
Alexandre Sarr,WAS,C,CHI,PRA,46.3,WORST,1
Nikola Vucevic,CHI,C,WAS,REB,17.7,WORST,1
Nikola Vucevic,CHI,C,WAS,AST,5.3,WORST,1
Nikola Vucevic,CHI,C,WAS,PRA,47.6,WORST,1
Vince Williams Jr.,MEM,PG,DAL,REB,7.9,WORST,1
Brandon Williams,DAL,PG,MEM,PTS,28.0,WORST,1
Brandon Williams,DAL,PG,MEM,PRA,42.3,WORST,1
Jaylen Wells,MEM,SG,DAL,REB,8.0,WORST,1
Jaylen Wells,MEM,SG,DAL,AST,4.8,BEST,-1
Max Christie,DAL,SG,MEM,AST,4.9,BEST,-1
Cedric Coward,MEM,SF,DAL,PTS,20.1,BEST,-1
Cooper Flagg,DAL,SF,MEM,AST,5.3,WORST,1
PJ Washington,DAL,PF,MEM,PTS,19.7,BEST,-1
PJ Washington,DAL,PF,MEM,AST,5.0,WORST,1
Russell Westbrook,SAC,PG,DEN,AST,7.5,BEST,-1
Russell Westbrook,SAC,PG,DEN,PRA,35.4,BEST,-1
Jamal Murray,DEN,PG,SAC,AST,7.7,BEST,-1
Cam Johnson,DEN,SG,SAC,REB,7.3,WORST,1
Cam Johnson,DEN,SG,SAC,AST,8.0,WORST,1
Cam Johnson,DEN,SG,SAC,PRA,41.2,WORST,1
DeMar DeRozan,SAC,SF,DEN,REB,6.1,BEST,-1
Peyton Watson,DEN,SF,SAC,PTS,20.4,BEST,-1
Peyton Watson,DEN,SF,SAC,AST,3.1,BEST,-1
Peyton Watson,DEN,SF,SAC,PRA,31.4,BEST,-1
Keegan Murray,SAC,PF,DEN,REB,8.6,BEST,-1
Keegan Murray,SAC,PF,DEN,PRA,34.8,BEST,-1
Spencer Jones,DEN,PF,SAC,PTS,26.6,WORST,1
Spencer Jones,DEN,PF,SAC,AST,5.1,WORST,1
Nikola Jokic,DEN,C,SAC,PTS,25.3,WORST,1
Nikola Jokic,DEN,C,SAC,REB,16.1,WORST,1
Nikola Jokic,DEN,C,SAC,AST,4.7,WORST,1
Nikola Jokic,DEN,C,SAC,PRA,46.1,WORST,1
