player,team,position,opponent,stat,opp_dvp_value,tier,edge_score
Trey Murphy,NOR,SF,DAL,PTS,20.0,BEST,-1
Derik Queen,NOR,C,DAL,REB,16.0,WORST,1
Devin Booker,PHO,PG,MIN,REB,7.4,WORST,1
Devin Booker,PHO,PG,MIN,AST,9.1,WORST,1
Dillon Brooks,PHO,SG,MIN,REB,5.7,BEST,-1
Jaden McDaniels,MIN,SF,PHO,REB,6.8,BEST,-1
Ryan Dunn,PHO,PF,MIN,REB,9.2,BEST,-1
Ryan Dunn,PHO,PF,MIN,AST,3.3,BEST,-1
Mark Williams,PHO,C,MIN,AST,4.9,WORST,1
Amen Thompson,HOU,PG,DEN,AST,7.8,BEST,-1
Amen Thompson,HOU,PG,DEN,PRA,35.8,BEST,-1
Cam Johnson,DEN,SG,HOU,PTS,20.4,BEST,-1
Cam Johnson,DEN,SG,HOU,REB,5.4,BEST,-1
Cam Johnson,DEN,SG,HOU,PRA,31.2,BEST,-1
Peyton Watson,DEN,SF,HOU,PTS,25.1,WORST,1
Peyton Watson,DEN,SF,HOU,PRA,37.0,WORST,1
Jabari Smith Jr.,HOU,SF,DEN,REB,6.1,BEST,-1
Aaron Gordon,DEN,PF,HOU,REB,8.8,BEST,-1
Aaron Gordon,DEN,PF,HOU,AST,3.2,BEST,-1
Aaron Gordon,DEN,PF,HOU,PRA,34.3,BEST,-1
Alperen Sengun,HOU,PF,DEN,REB,8.3,BEST,-1
Alperen Sengun,HOU,PF,DEN,PRA,34.4,BEST,-1
Nikola Jokic,DEN,C,HOU,PTS,19.0,BEST,-1
Nikola Jokic,DEN,C,HOU,REB,10.9,BEST,-1
Nikola Jokic,DEN,C,HOU,AST,2.8,BEST,-1
Nikola Jokic,DEN,C,HOU,PRA,32.7,BEST,-1
Stephen Curry Off Inj,GSW,PG,POR,AST,6.8,BEST,-1
Will Richard,GSW,SG,POR,PTS,26.5,WORST,1
Will Richard,GSW,SG,POR,REB,5.7,BEST,-1
Will Richard,GSW,SG,POR,AST,6.1,WORST,1
Moses Moody,GSW,SF,POR,REB,9.4,WORST,1
Moses Moody,GSW,SF,POR,AST,5.4,WORST,1
Draymond Green,GSW,C,POR,PTS,25.7,WORST,1
Draymond Green,GSW,C,POR,PRA,43.7,WORST,1
Shai Gilgeous-Alexander,OKC,PG,UTA,AST,9.1,WORST,1
Keyonte George,UTA,PG,OKC,PTS,20.0,BEST,-1
Keyonte George,UTA,PG,OKC,AST,7.1,BEST,-1
Keyonte George,UTA,PG,OKC,PRA,33.7,BEST,-1
Cason Wallace Off Inj,OKC,SG,UTA,PTS,28.6,WORST,1
Cason Wallace Off Inj,OKC,SG,UTA,AST,6.3,WORST,1
Cason Wallace Off Inj,OKC,SG,UTA,PRA,41.2,WORST,1
Svi Mykhailiuk,UTA,SG,OKC,AST,3.8,BEST,-1
Svi Mykhailiuk,UTA,SG,OKC,PRA,32.7,BEST,-1
Luguentz Dort,OKC,SF,UTA,PTS,19.6,BEST,-1
Luguentz Dort,OKC,SF,UTA,REB,6.5,BEST,-1
Luguentz Dort,OKC,SF,UTA,AST,5.4,WORST,1
Luguentz Dort,OKC,SF,UTA,PRA,31.5,BEST,-1
Chet Holmgren,OKC,PF,UTA,AST,5.6,WORST,1
Lauri Markkanen,UTA,PF,OKC,PTS,20.1,BEST,-1
Lauri Markkanen,UTA,PF,OKC,PRA,34.4,BEST,-1
Isaiah Hartenstein,OKC,C,UTA,AST,2.8,BEST,-1
Jusuf Nurkic,UTA,C,OKC,PTS,18.6,BEST,-1
Jusuf Nurkic,UTA,C,OKC,REB,12.2,BEST,-1
Jusuf Nurkic,UTA,C,OKC,AST,2.9,BEST,-1
Jusuf Nurkic,UTA,C,OKC,PRA,33.7,BEST,-1
