player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
Jaden McDaniels,MIN,SF,SAC,PTS,20.1,BEST,-1,,,,
Jaden McDaniels,MIN,SF,SAC,AST,3.1,BEST,-1,,,,
Jaden McDaniels,MIN,SF,SAC,PRA,30.9,BEST,-1,,,,
Julius Randle,MIN,PF,SAC,PTS,25.8,WORST,1,o22.5,-114,alt 19+,
Julius Randle,MIN,PF,SAC,AST,5,WORST,1,,,alt 4+,
Keegan Murray,SAC,PF,MIN,AST,3.4,BEST,-1,,,,
Rudy Gobert,MIN,C,SAC,PTS,27,WORST,1,o10.5,-127,alt 7+,
Rudy Gobert,MIN,C,SAC,REB,16,WORST,1,o11.5,-108,alt 8+,
Rudy Gobert,MIN,C,SAC,AST,4.9,WORST,1,,,,
Rudy Gobert,MIN,C,SAC,PRA,47.9,WORST,1,o23.5,-122,alt 19+,1
