rank,player,team,games,games_started,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,reb,ast,stl,blk,tov,pf,pts,game_score,pr,pa,pra
16,Desmond Bane,ORL,4.0,4.0,32.8,9.3,17.5,0.529,1.3,4.8,0.263,7.0,7.5,0.933,2.3,2.8,5.0,4.5,1.0,0.5,1.8,3.3,26.8,21.9,31.8,31.3,36.3
17,Alex Sarr,WAS,2.0,2.0,35.2,9.5,17.0,0.559,1.0,3.0,0.333,5.5,10.0,0.55,2.5,7.5,10.0,0.5,2.0,2.0,1.0,1.5,25.5,21.8,35.5,26.0,36.0
18,Kawhi Leonard,LAC,5.0,5.0,28.4,9.8,18.4,0.533,2.6,5.4,0.481,6.6,6.8,0.971,0.0,5.2,5.2,2.0,1.6,0.0,2.2,2.2,28.8,21.2,34.0,30.8,36.0
19,Tyrese Maxey,PHI,4.0,4.0,40.6,9.5,21.3,0.447,2.5,10.0,0.25,6.8,7.8,0.871,0.0,5.0,5.0,6.5,1.0,0.5,2.8,2.0,28.3,20.6,33.3,34.8,39.8
20,Alperen Şengün,HOU,4.0,4.0,34.0,9.3,16.5,0.561,0.8,3.0,0.25,3.8,5.5,0.682,2.5,3.3,5.8,7.5,1.0,1.5,2.5,3.5,23.0,20.6,28.8,30.5,36.3
21,De'Aaron Fox,SAS,4.0,4.0,33.1,8.0,17.5,0.457,2.0,6.0,0.333,7.8,8.5,0.912,0.3,3.3,3.5,6.8,1.3,0.5,2.8,2.0,25.8,20.3,29.3,32.6,36.1
22,Tyler Herro,MIA,4.0,4.0,30.9,8.8,16.3,0.538,3.3,6.0,0.542,4.0,4.3,0.941,0.5,4.3,4.8,2.8,1.0,0.8,1.0,1.8,24.8,20.2,29.6,27.6,32.4
23,Josh Hart,NYK,4.0,4.0,36.6,6.0,11.3,0.533,2.3,5.0,0.45,2.8,3.3,0.846,2.8,9.0,11.8,7.0,2.8,0.5,2.5,3.5,17.0,20.1,28.8,24.0,35.8
24,Marvin Bagley III,WAS,1.0,1.0,29.3,11.0,16.0,0.688,0.0,1.0,0.0,0.0,0.0,,6.0,2.0,8.0,1.0,0.0,0.0,0.0,2.0,22.0,19.9,30.0,23.0,31.0
25,Jalen Brunson,NYK,4.0,4.0,34.9,10.5,21.8,0.483,2.8,6.8,0.407,5.0,5.8,0.87,1.0,2.0,3.0,4.5,0.5,0.0,2.0,1.3,28.8,19.9,31.8,33.3,36.3
26,Jamal Murray,DEN,4.0,4.0,34.1,8.8,16.8,0.522,4.5,7.5,0.6,3.0,3.5,0.857,0.5,3.0,3.5,7.0,0.5,0.3,2.8,2.0,25.0,19.9,28.5,32.0,35.5
27,Deni Avdija,POR,4.0,4.0,33.0,7.0,15.5,0.452,2.8,6.8,0.407,8.5,12.0,0.708,1.5,7.0,8.5,6.0,0.5,0.5,3.3,2.5,25.3,19.8,33.8,31.3,39.8
28,Scottie Barnes,TOR,5.0,5.0,35.9,7.4,14.2,0.521,1.0,2.4,0.417,5.6,6.0,0.933,3.0,6.0,9.0,4.6,1.2,1.6,2.8,3.0,21.4,19.7,30.4,26.0,35.0
29,Keegan Murray,SAC,4.0,4.0,40.9,7.8,16.3,0.477,1.5,6.0,0.25,3.0,3.8,0.8,2.0,6.5,8.5,2.3,2.8,1.8,0.0,2.3,20.0,19.4,28.5,22.3,30.8
30,Andrew Wiggins,MIA,3.0,3.0,33.4,7.7,13.3,0.575,1.7,4.3,0.385,4.3,4.7,0.929,2.0,3.7,5.7,3.3,1.0,1.7,1.7,2.3,21.3,19.3,27.0,24.6,30.3
31,Saddiq Bey,NOP,4.0,4.0,35.9,7.5,14.8,0.508,3.0,7.0,0.429,2.3,4.0,0.563,2.3,8.0,10.3,2.8,1.8,0.5,0.5,1.3,20.3,19.2,30.6,23.1,33.4
32,Derrick White,BOS,3.0,3.0,35.5,6.0,13.3,0.45,3.3,7.7,0.435,4.3,4.7,0.929,1.3,3.7,5.0,4.3,1.7,2.0,1.3,2.3,19.7,18.5,24.7,24.0,29.0
33,Norman Powell,MIA,4.0,4.0,30.8,9.0,15.8,0.571,3.3,7.0,0.464,4.0,5.0,0.8,0.5,2.8,3.3,2.3,1.3,0.3,2.0,3.0,25.3,18.4,28.6,27.6,30.9
34,Josh Giddey,CHI,4.0,4.0,34.4,7.3,13.8,0.527,3.0,7.0,0.429,3.8,5.5,0.682,0.5,9.0,9.5,7.0,1.0,0.3,4.0,1.8,21.3,18.3,30.8,28.3,37.8
35,Payton Pritchard,BOS,4.0,4.0,32.4,8.3,15.5,0.532,3.0,7.5,0.4,2.0,2.0,1.0,1.0,3.5,4.5,4.3,0.8,0.5,1.0,1.3,21.5,18.3,26.0,25.8,30.3
36,Corey Kispert,WAS,1.0,1.0,24.5,6.0,11.0,0.545,4.0,8.0,0.5,3.0,5.0,0.6,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,19.0,18.2,22.0,20.0,23.0
37,Devin Vassell,SAS,4.0,4.0,32.9,9.0,16.8,0.537,3.5,7.5,0.467,2.8,2.8,1.0,0.5,3.0,3.5,1.8,1.3,0.5,1.0,2.5,24.3,18.2,27.8,26.1,29.6
38,Evan Mobley,CLE,5.0,5.0,33.2,7.6,13.2,0.576,1.6,4.0,0.4,1.6,2.6,0.615,2.6,7.0,9.6,4.4,0.8,1.4,1.6,2.2,18.4,18.1,28.0,22.8,32.4
39,Michael Porter Jr.,BRK,3.0,3.0,32.1,9.3,19.0,0.491,4.0,9.7,0.414,2.7,4.0,0.667,1.7,4.0,5.7,2.7,1.0,0.3,1.7,2.3,25.3,18.1,31.0,28.0,33.7
40,Karl-Anthony Towns,NYK,4.0,4.0,33.0,7.5,14.0,0.536,1.3,3.3,0.385,5.5,6.3,0.88,3.3,6.8,10.0,3.0,0.3,0.8,2.5,3.0,21.8,18.1,31.8,24.8,34.8
41,P.J. Washington,DAL,2.0,2.0,34.8,9.5,20.0,0.475,2.5,6.0,0.417,3.0,3.0,1.0,3.5,5.0,8.5,1.0,0.5,1.5,2.0,2.5,24.5,17.5,33.0,25.5,34.0
42,Pascal Siakam,IND,5.0,5.0,31.9,9.0,17.2,0.523,0.4,2.6,0.154,3.4,5.6,0.607,2.0,5.8,7.8,2.4,1.6,1.0,1.4,2.0,21.8,17.4,29.6,24.2,32.0
43,Kristaps Porziņģis,ATL,1.0,1.0,21.8,7.0,13.0,0.538,2.0,5.0,0.4,6.0,7.0,0.857,2.0,6.0,8.0,1.0,0.0,0.0,0.0,5.0,22.0,17.2,30.0,23.0,31.0
44,Nickeil Alexander-Walker,ATL,5.0,5.0,37.1,8.4,17.8,0.472,4.4,9.4,0.468,3.0,3.4,0.882,0.8,3.4,4.2,3.4,1.0,0.6,2.2,2.6,24.2,17.1,28.4,27.6,31.8
45,Cooper Flagg,DAL,4.0,4.0,35.2,8.3,16.5,0.5,0.5,3.3,0.154,4.0,4.8,0.842,1.3,6.3,7.5,4.5,1.8,0.3,2.3,2.5,21.0,17.0,28.5,25.5,33.0
46,Nikola Vučević,CHI,3.0,3.0,31.7,6.7,12.7,0.526,1.3,4.0,0.333,1.7,2.0,0.833,3.7,7.3,11.0,4.7,1.3,0.0,1.3,2.7,16.3,17.0,27.3,21.0,32.0
47,Ivica Zubac,LAC,5.0,5.0,35.5,7.8,14.0,0.557,0.0,0.0,,1.8,2.4,0.75,4.2,8.6,12.8,3.8,0.4,1.2,1.6,3.4,17.4,16.9,30.2,21.2,34.0
48,Jaylen Wells,MEM,4.0,4.0,30.9,5.8,9.0,0.639,3.3,5.8,0.565,4.0,4.5,0.889,1.3,3.0,4.3,1.8,0.8,0.3,0.8,2.3,18.8,16.8,23.1,20.6,24.9
49,Mark Williams,PHO,4.0,4.0,26.1,6.5,9.3,0.703,0.0,0.0,,2.3,3.5,0.643,4.5,7.3,11.8,1.8,1.5,0.8,1.8,2.3,15.3,16.8,27.1,17.1,28.9
50,Zion Williamson,NOP,3.0,3.0,30.9,7.7,15.0,0.511,0.0,1.0,0.0,8.3,9.7,0.862,1.0,3.3,4.3,3.3,0.7,1.0,3.3,2.3,23.7,16.8,28.0,27.0,31.3
51,Bam Adebayo,MIA,5.0,5.0,31.1,6.8,13.8,0.493,1.6,4.4,0.364,3.6,5.0,0.72,2.2,8.6,10.8,1.6,1.2,1.2,1.8,0.6,18.8,16.5,29.6,20.4,31.2
52,DeMar DeRozan,SAC,4.0,4.0,34.8,6.8,13.5,0.5,1.0,2.0,0.5,6.0,6.0,1.0,0.0,1.5,1.5,3.5,1.8,0.3,1.3,2.3,20.5,16.4,22.0,24.0,25.5
53,Coby White,CHI,2.0,2.0,32.2,9.0,19.0,0.474,2.0,8.0,0.25,4.5,6.5,0.692,0.5,3.0,3.5,5.0,0.5,0.0,2.5,2.0,24.5,16.0,28.0,29.5,33.0
54,Franz Wagner,ORL,4.0,4.0,30.7,8.0,15.0,0.533,0.3,2.0,0.125,4.3,5.8,0.739,1.8,4.8,6.5,2.8,1.5,0.3,2.3,1.8,20.5,15.9,27.0,23.3,29.8
55,Collin Gillespie,PHO,6.0,3.0,31.5,7.2,14.3,0.5,4.7,9.2,0.509,0.3,0.3,1.0,1.0,1.7,2.7,4.7,1.7,0.2,2.2,1.3,19.3,15.7,22.0,24.0,26.7
56,Zach Edey,MEM,4.0,4.0,25.4,7.3,10.0,0.725,0.0,0.3,0.0,0.5,1.0,0.5,4.3,8.8,13.0,0.5,0.3,2.5,2.0,2.8,15.0,15.6,28.0,15.5,28.5
57,Tre Jones,CHI,4.0,0.0,28.3,5.5,8.0,0.688,0.5,1.3,0.4,4.3,5.3,0.81,0.3,1.0,1.3,5.0,1.3,0.3,1.3,1.3,15.8,15.6,17.1,20.8,22.1
58,Lauri Markkanen,UTA,5.0,5.0,35.0,7.4,18.0,0.411,1.6,6.6,0.242,6.0,6.6,0.909,1.8,5.4,7.2,1.8,0.4,0.2,1.0,1.4,22.4,15.6,29.6,24.2,31.4
59,James Harden,LAC,5.0,5.0,33.1,5.4,15.6,0.346,2.0,8.6,0.233,9.4,10.2,0.922,0.4,4.4,4.8,8.0,1.0,0.2,5.0,2.4,22.2,15.5,27.0,30.2,35.0
60,Deandre Ayton,LAL,4.0,4.0,26.2,5.5,7.0,0.786,0.0,0.0,,2.3,2.5,0.9,2.0,6.0,8.0,1.0,0.8,1.5,0.5,1.0,13.3,15.3,21.3,14.3,22.3
61,Anthony Black,ORL,4.0,1.0,30.2,7.5,15.5,0.484,2.3,4.8,0.474,3.5,5.3,0.667,1.0,3.3,4.3,3.8,1.3,0.8,2.3,1.8,20.8,15.3,25.1,24.6,28.9
62,Keyonte George,UTA,5.0,5.0,33.7,7.6,15.8,0.481,2.8,6.8,0.412,4.8,6.4,0.75,0.2,4.0,4.2,6.2,0.8,0.4,4.4,3.0,22.8,15.3,27.0,29.0,33.2
63,Mikal Bridges,NYK,4.0,4.0,34.3,6.5,11.0,0.591,1.5,3.8,0.4,1.0,1.0,1.0,1.3,2.8,4.0,3.0,2.3,1.5,1.0,3.3,15.5,15.2,19.5,18.5,22.5
64,Peyton Watson,DEN,4.0,4.0,32.2,6.5,12.8,0.51,2.0,5.5,0.364,2.0,2.0,1.0,1.5,3.8,5.3,3.0,0.5,1.3,0.5,2.3,17.0,14.9,22.3,20.0,25.3
65,Collin Sexton,CHO,5.0,1.0,26.2,6.4,11.6,0.552,1.0,3.4,0.294,4.4,4.8,0.917,0.8,1.6,2.4,3.2,1.0,0.6,2.0,1.2,18.2,14.7,20.6,21.4,23.8
66,Devin Booker,PHO,6.0,6.0,33.0,5.3,14.0,0.381,1.5,5.7,0.265,7.3,8.8,0.83,0.8,4.0,4.8,5.7,0.8,0.7,2.7,2.7,19.5,14.6,24.3,25.2,30.0
67,Dyson Daniels,ATL,5.0,5.0,37.2,6.6,12.8,0.516,0.4,2.4,0.167,0.4,1.4,0.286,3.0,5.0,8.0,7.0,2.2,0.0,2.4,2.6,14.0,14.5,22.0,21.0,29.0
68,Keldon Johnson,SAS,4.0,0.0,24.2,5.3,8.8,0.6,1.5,3.3,0.462,3.3,4.0,0.813,2.0,6.0,8.0,2.0,0.8,0.0,1.5,1.3,15.3,14.3,23.3,17.3,25.3
69,Jalen Duren,DET,4.0,4.0,31.0,6.0,10.0,0.6,0.0,0.0,,4.5,6.0,0.75,4.8,8.0,12.8,1.3,0.3,1.0,3.5,3.0,16.5,14.2,29.3,17.8,30.6
70,Amen Thompson,HOU,4.0,4.0,35.8,6.0,13.0,0.462,0.3,1.8,0.143,4.3,5.3,0.81,2.8,6.5,9.3,5.8,0.5,0.8,2.8,3.5,16.5,14.2,25.8,22.3,31.6
71,Jaren Jackson Jr.,MEM,4.0,4.0,32.4,7.8,16.3,0.477,2.3,6.5,0.346,2.3,2.8,0.818,1.0,3.8,4.8,3.3,1.0,0.3,1.5,4.0,20.0,13.7,24.8,23.3,28.1
72,Julius Randle,MIN,4.0,4.0,34.9,5.5,13.5,0.407,2.0,6.0,0.333,3.3,4.3,0.765,2.0,6.3,8.3,6.8,1.0,0.3,3.3,2.0,16.3,13.7,24.6,23.1,31.4
73,Jerami Grant,POR,4.0,4.0,30.5,6.5,15.3,0.426,2.5,6.8,0.37,6.3,7.0,0.893,0.8,2.8,3.5,2.5,0.8,1.0,3.3,3.0,21.8,13.5,25.3,24.3,27.8
74,Cameron Johnson,DEN,4.0,4.0,36.4,6.0,11.3,0.533,3.3,6.3,0.52,2.5,2.8,0.909,1.0,3.3,4.3,2.0,1.3,0.5,2.5,2.5,17.8,13.4,22.1,19.8,24.1
75,Neemias Queta,BOS,2.0,2.0,17.3,5.0,5.5,0.909,0.0,0.0,,2.5,4.0,0.625,4.5,5.5,10.0,0.0,0.0,1.0,1.0,3.0,12.5,13.4,22.5,12.5,22.5
76,Trendon Watford,PHI,2.0,0.0,18.4,4.5,7.0,0.643,0.5,1.0,0.5,4.0,4.5,0.889,1.0,4.0,5.0,4.0,0.5,0.5,1.5,2.5,13.5,13.3,18.5,17.5,22.5
77,Steven Adams,HOU,2.0,0.0,16.7,2.0,4.0,0.5,0.0,0.0,,5.5,6.0,0.917,3.5,6.0,9.5,1.0,1.0,0.5,0.0,1.0,9.5,13.2,19.0,10.5,20.0
78,Stephen Curry,GSW,2.0,2.0,30.9,8.0,18.5,0.432,4.0,13.0,0.308,2.5,2.5,1.0,1.0,4.0,5.0,3.5,0.5,2.0,5.0,2.0,22.5,13.2,27.5,26.0,31.0
79,Jaylon Tyson,CLE,5.0,4.0,28.6,5.6,11.2,0.5,2.6,5.2,0.5,1.2,1.6,0.75,2.8,3.4,6.2,1.6,1.4,0.6,1.0,2.4,15.0,13.2,21.2,16.6,22.8
80,Kel'el Ware,MIA,5.0,2.0,24.8,4.8,9.0,0.533,1.2,2.0,0.6,1.8,2.0,0.9,4.0,7.8,11.8,0.0,1.0,1.2,1.2,2.2,12.6,13.0,24.4,12.6,24.4
81,RJ Barrett,TOR,1.0,1.0,20.2,4.0,8.0,0.5,2.0,3.0,0.667,6.0,6.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,16.0,12.9,18.0,17.0,19.0
82,Miles McBride,NYK,4.0,4.0,34.3,5.0,9.3,0.541,3.8,6.3,0.6,1.5,1.5,1.0,0.8,2.3,3.0,2.3,1.0,0.0,1.0,1.8,15.3,12.9,18.3,17.6,20.6
83,Dillon Brooks,PHO,6.0,6.0,33.4,9.3,20.0,0.467,2.2,7.7,0.283,3.5,4.3,0.808,0.8,2.0,2.8,1.3,1.0,0.0,2.7,3.7,24.3,12.7,27.1,25.6,28.4
84,Wendell Carter Jr.,ORL,3.0,3.0,28.1,4.0,6.7,0.6,1.0,2.3,0.429,3.3,4.0,0.833,3.0,5.3,8.3,1.7,0.7,0.7,1.3,2.3,12.3,12.7,20.6,14.0,22.3
85,Noah Clowney,BRK,5.0,5.0,32.6,5.6,11.6,0.483,2.8,7.2,0.389,4.6,4.8,0.958,0.4,2.6,3.0,2.4,0.8,0.8,2.6,3.6,18.6,12.7,21.6,21.0,24.0
86,Onyeka Okongwu,ATL,5.0,4.0,34.3,7.6,15.6,0.487,1.8,6.8,0.265,0.6,1.0,0.6,1.4,5.8,7.2,3.4,0.8,1.2,2.2,3.6,17.6,12.7,24.8,21.0,28.2
87,Santi Aldama,MEM,4.0,0.0,25.4,4.0,9.3,0.432,1.0,2.8,0.364,2.5,2.8,0.909,1.3,4.8,6.0,4.8,0.8,1.0,0.8,0.8,11.5,12.6,17.5,16.3,22.3
88,Reed Sheppard,HOU,4.0,4.0,29.7,5.3,12.5,0.42,2.3,6.8,0.333,1.3,1.5,0.833,0.5,4.0,4.5,4.0,2.3,1.0,1.5,1.3,14.0,12.6,18.5,18.0,22.5
89,Miles Bridges,CHO,5.0,5.0,35.3,7.8,18.0,0.433,1.4,6.2,0.226,3.6,4.8,0.75,0.6,3.8,4.4,2.8,0.4,0.8,1.8,2.2,20.6,12.4,25.0,23.4,27.8
90,Davion Mitchell,MIA,5.0,5.0,31.0,3.0,6.0,0.5,1.0,2.0,0.5,1.2,1.6,0.75,0.8,3.0,3.8,9.4,1.8,0.0,1.4,2.8,8.2,12.4,12.0,17.6,21.4
91,Jusuf Nurkić,UTA,5.0,5.0,25.1,5.4,8.4,0.643,0.6,0.8,0.75,0.6,2.2,0.273,2.4,6.6,9.0,4.8,1.0,0.4,2.0,3.8,12.0,12.4,21.0,16.8,25.8
92,Donte DiVincenzo,MIN,4.0,4.0,33.0,5.3,11.5,0.457,3.8,8.8,0.429,1.0,1.5,0.667,0.8,3.5,4.3,3.8,0.8,0.0,1.0,2.0,15.3,12.3,19.6,19.1,23.4
93,Jay Huff,IND,5.0,3.0,23.8,4.4,7.8,0.564,2.4,5.0,0.48,1.2,1.6,0.75,1.8,3.4,5.2,1.6,0.2,3.2,1.0,2.8,12.4,12.3,17.6,14.0,19.2
94,Ryan Nembhard,DAL,4.0,3.0,24.0,5.8,10.0,0.575,2.3,4.3,0.529,0.0,0.0,,0.3,2.0,2.3,6.0,0.3,0.0,1.0,2.5,13.8,12.3,16.1,19.8,22.1
95,Eric Gordon,PHI,1.0,0.0,22.4,4.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,10.0,12.2,12.0,12.0,14.0
96,T.J. McConnell,IND,5.0,0.0,19.3,5.8,10.2,0.569,0.0,1.2,0.0,0.0,0.0,,0.2,3.0,3.2,5.2,1.6,0.4,0.8,1.2,11.6,12.1,14.8,16.8,20.0
97,A.J. Green,MIL,5.0,5.0,30.8,4.2,7.4,0.568,4.0,7.2,0.556,0.4,0.6,0.667,0.0,4.0,4.0,3.8,1.0,0.0,1.2,2.2,12.8,12.0,16.8,16.6,20.6
98,Khris Middleton,WAS,3.0,3.0,29.5,5.0,9.3,0.536,1.0,1.7,0.6,1.3,2.0,0.667,1.3,4.3,5.7,7.3,0.7,0.7,2.7,3.3,12.3,12.0,18.0,19.6,25.3
99,Naji Marshall,DAL,4.0,2.0,28.9,4.3,8.3,0.515,1.3,3.8,0.333,2.8,3.0,0.917,1.8,5.0,6.8,2.8,1.5,0.0,1.5,2.8,12.5,11.9,19.3,15.3,22.1
100,Trey Murphy III,NOP,2.0,2.0,37.3,6.0,14.0,0.429,3.0,8.0,0.375,1.0,1.5,0.667,0.0,4.0,4.0,5.0,2.0,0.0,2.0,3.0,16.0,11.9,20.0,21.0,25.0
101,Chet Holmgren,OKC,4.0,4.0,29.1,5.8,12.0,0.479,1.0,3.0,0.333,2.3,3.5,0.643,1.8,7.0,8.8,2.0,0.5,1.8,1.5,3.3,14.8,11.8,23.6,16.8,25.6
102,Jalen Williams,OKC,2.0,2.0,31.7,5.0,15.0,0.333,0.5,0.5,1.0,3.0,3.0,1.0,0.0,6.0,6.0,6.5,1.0,2.0,1.0,2.5,13.5,11.8,19.5,20.0,26.0
103,Robert Williams,POR,3.0,0.0,18.3,3.7,5.0,0.733,0.0,0.7,0.0,1.0,2.0,0.5,2.0,4.3,6.3,0.7,1.0,3.0,0.0,1.0,8.3,11.8,14.6,9.0,15.3
104,Joel Embiid,PHI,1.0,1.0,30.0,6.0,14.0,0.429,0.0,3.0,0.0,6.0,8.0,0.75,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,18.0,11.7,22.0,20.0,24.0
105,Quentin Grimes,PHI,4.0,3.0,37.8,5.8,14.5,0.397,1.5,6.3,0.24,4.5,4.8,0.947,1.5,2.5,4.0,5.0,1.0,0.3,3.3,2.8,17.5,11.7,21.5,22.5,26.5
106,Tim Hardaway Jr.,DEN,4.0,0.0,28.5,5.8,11.5,0.5,3.0,7.8,0.387,1.5,1.8,0.857,0.3,1.8,2.0,2.0,0.3,0.3,0.5,1.3,16.0,11.7,18.0,18.0,20.0
107,LeBron James,LAL,4.0,4.0,33.0,6.3,14.0,0.446,1.3,4.8,0.263,2.5,4.0,0.625,0.5,3.8,4.3,6.0,0.8,0.3,2.5,2.0,16.3,11.7,20.6,22.3,26.6
108,Jakob Poeltl,TOR,3.0,3.0,30.3,3.7,5.3,0.688,0.0,0.0,,0.3,0.3,1.0,3.7,7.3,11.0,4.3,1.7,0.7,2.3,3.3,7.7,11.7,18.7,12.0,23.0
109,Mason Plumlee,CHO,1.0,1.0,23.0,2.0,2.0,1.0,0.0,0.0,,2.0,3.0,0.667,1.0,7.0,8.0,6.0,1.0,0.0,1.0,1.0,6.0,11.6,14.0,12.0,20.0
110,Immanuel Quickley,TOR,5.0,5.0,33.9,6.2,15.6,0.397,2.4,7.6,0.316,1.2,2.2,0.545,0.2,4.4,4.6,7.0,0.8,0.0,1.8,2.4,16.0,11.6,20.6,23.0,27.6
111,Donovan Clingan,POR,3.0,3.0,24.4,3.3,7.0,0.476,1.3,2.7,0.5,2.3,3.7,0.636,3.3,6.7,10.0,2.3,0.3,1.3,1.0,2.3,10.3,11.5,20.3,12.6,22.6
112,Paul George,PHI,3.0,3.0,23.2,5.0,12.3,0.405,1.3,6.0,0.222,2.0,2.3,0.857,1.0,3.0,4.0,3.7,2.7,0.3,1.3,2.0,13.3,11.5,17.3,17.0,21.0
113,Julian Champagnie,SAS,4.0,4.0,31.0,3.8,11.3,0.333,2.0,7.3,0.276,3.5,3.8,0.933,2.0,7.3,9.3,1.5,0.8,1.0,0.8,1.3,13.0,11.4,22.3,14.5,23.8
114,Isaiah Hartenstein,OKC,2.0,2.0,25.1,4.5,9.5,0.474,0.0,0.0,,2.0,4.0,0.5,2.0,8.5,10.5,2.5,0.5,2.0,1.0,1.5,11.0,11.4,21.5,13.5,24.0
115,Jordan Hawkins,NOP,1.0,0.0,15.3,5.0,9.0,0.556,4.0,8.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,11.4,15.0,15.0,16.0
116,Brandon Ingram,TOR,5.0,5.0,36.6,9.2,21.6,0.426,2.2,6.0,0.367,2.0,3.8,0.526,0.6,5.0,5.6,2.8,1.0,0.2,3.6,1.2,22.6,11.4,28.2,25.4,31.0
117,Brandon Miller,CHO,3.0,3.0,28.2,5.3,14.7,0.364,3.0,8.7,0.346,3.7,4.0,0.917,0.7,3.0,3.7,2.3,0.7,1.7,2.0,1.3,17.3,11.4,21.0,19.6,23.3
118,Jabari Smith Jr.,HOU,4.0,4.0,33.3,4.5,9.8,0.462,1.8,5.5,0.318,4.0,5.3,0.762,1.3,3.8,5.0,1.8,1.3,0.8,1.5,3.3,14.8,11.4,19.8,16.6,21.6
119,Kon Knueppel,CHO,5.0,5.0,33.5,5.6,14.2,0.394,3.4,8.6,0.395,2.2,2.4,0.917,0.4,5.0,5.4,3.4,0.6,0.2,2.0,1.8,16.8,11.2,22.2,20.2,25.6
120,Cam Spencer,MEM,4.0,0.0,23.4,5.0,8.5,0.588,3.0,5.0,0.6,0.8,0.8,1.0,0.3,1.3,1.5,4.5,0.8,0.3,2.8,1.3,13.8,11.2,15.3,18.3,19.8
